"","dep_delay","carrier","dep_time"
"114",-8,"DL",851
"115",-7,"VX",723
"116",0,"UA",830
"117",-2,"DL",1358
"118",-2,"UA",1758
"119",50,"B6",2156
"120",-3,"DL",1537
"121",-8,"EV",906
"122",-4,"DL",731
"123",31,"EV",828
"124",1,"UA",1252
"125",-4,"DL",811
"126",-1,"B6",1034
"127",-4,"B6",2241
"128",45,"EV",1605
"129",4,"DL",1904
"130",98,"MQ",1008
"131",5,"B6",1952
"132",97,"EV",1810
"133",12,"US",1907
"134",-1,"MQ",1209
"135",-2,"EV",1518
"136",4,"DL",1603
"137",-8,"EV",632
"138",-3,"WN",1922
"139",-7,"EV",1258
"140",-7,"EV",1433
"141",-11,"US",1049
"142",253,"UA",2142
"143",0,"US",2000
"144",-4,"AA",1731
"145",1,"VX",731
"146",-3,"VX",1257
"147",53,"EV",1508
"148",1,"AA",616
"149",135,"9E",2120
"150",-1,"9E",954
"151",11,"EV",2122
"152",NA,"EV",NA
"153",-2,"UA",558
"154",-5,"MQ",1245
"155",-3,"AA",1717
"156",-1,"AA",1604
"157",3,"AA",713
"158",0,"MQ",1535
"159",-5,"WN",1310
"160",-4,"MQ",1156
"161",29,"DL",1524
"162",-2,"B6",1833
"163",-9,"MQ",2011
"164",39,"UA",1239
"165",-7,"DL",1928
"166",53,"MQ",1353
"167",-6,"DL",1054
"168",NA,"UA",NA
"169",-9,"FL",1723
"170",-2,"UA",1028
"171",-7,"9E",753
"172",79,"UA",1630
"173",0,"B6",710
"174",-2,"B6",1930
"175",0,"WN",1155
"176",-2,"B6",1948
"177",-2,"UA",757
"178",-6,"B6",834
"179",38,"VX",1933
"180",31,"DL",1756
"181",-3,"US",1312
"182",-2,"WN",558
"183",24,"UA",1423
"184",-2,"UA",2033
"185",0,"DL",900
"186",-3,"EV",714
"187",-12,"UA",848
"188",-6,"UA",632
"189",48,"UA",1617
"190",-1,"AA",1728
"191",217,"DL",1522
"192",-7,"UA",1352
"193",-10,"B6",645
"194",-4,"DL",606
"195",9,"B6",1839
"196",93,"WN",1118
"197",-2,"B6",1018
"198",5,"B6",1610
"199",-7,"EV",1545
"200",-8,"US",1552
"201",89,"UA",1704
"202",-3,"DL",1257
"203",-3,"UA",1627
"204",-9,"MQ",841
"205",6,"VX",1306
"206",-8,"DL",757
"207",0,"DL",600
"208",-7,"UA",1723
"209",4,"EV",1119
"210",19,"AA",1509
"211",-5,"DL",1555
"212",-1,"EV",802
"213",-5,"DL",1130
"214",32,"B6",1607
"215",-2,"AA",1813
"216",-4,"US",1126
"217",29,"UA",928
"218",76,"MQ",2001
"219",-7,"EV",1252
"220",23,"DL",1933
"221",-1,"B6",730
"222",-3,"B6",557
"223",-4,"EV",556
"224",58,"B6",57
"225",-7,"EV",1212
"226",13,"UA",1713
"227",107,"EV",1550
"228",-1,"DL",809
"229",30,"DL",1829
"230",-5,"US",1354
"231",-1,"EV",1559
"232",82,"EV",931
"233",0,"B6",1500
"234",NA,"UA",NA
"235",-5,"US",1345
"236",41,"EV",2022
"237",-5,"UA",857
"238",1,"AA",1456
"239",6,"WN",1551
"240",93,"DL",1833
"241",20,"UA",1745
"242",-13,"AA",1647
"243",-5,"US",609
"244",11,"UA",1911
"245",61,"B6",2332
"246",-8,"US",1952
"247",103,"US",1818
"248",61,"US",1730
"249",1,"UA",937
"250",-2,"DL",1728
"251",6,"WN",1836
"252",-9,"B6",856
"253",-9,"B6",759
"254",-1,"UA",559
"255",1,"AA",1246
"256",24,"B6",1823
"257",0,"B6",630
"258",0,"UA",1014
"259",-8,"DL",652
"260",18,"B6",2208
"261",-9,"US",806
"262",5,"WN",1550
"263",14,"UA",1734
"264",33,"9E",1733
"265",1,"UA",746
"266",-3,"EV",912
"267",-5,"DL",650
"268",-6,"WN",1349
"269",63,"MQ",1353
"270",1,"UA",1002
"271",-7,"US",958
"272",9,"B6",746
"273",19,"B6",1951
"274",-7,"US",1253
"275",0,"UA",755
"276",-1,"WN",604
"277",18,"DL",658
"278",2,"WN",1117
"279",39,"MQ",1154
"280",-2,"AS",718
"281",24,"EV",1418
"282",-3,"MQ",1047
"283",15,"UA",1144
"284",14,"9E",1314
"285",12,"WN",1252
"286",15,"WN",950
"287",1,"B6",2006
"288",-6,"UA",1426
"289",27,"UA",2126
"290",3,"B6",2
"291",-6,"AA",1119
"292",-4,"AA",1726
"293",NA,"EV",NA
"294",-3,"9E",1537
"295",-7,"AA",1933
"296",3,"UA",1407
"297",-4,"EV",1639
"298",-5,"AA",750
"299",-5,"B6",606
"300",-1,"DL",829
"301",37,"9E",832
"302",43,"EV",1642
"303",-3,"DL",1027
"304",16,"EV",1401
"305",184,"UA",2344
"306",-4,"US",811
"307",-2,"US",1458
"308",-1,"AA",1659
"309",-3,"UA",633
"310",-7,"EV",1818
"311",24,"UA",930
"312",144,"AA",1944
"313",-4,"EV",1755
"314",NA,"UA",NA
"315",81,"DL",2028
"316",5,"B6",4
"317",-4,"B6",2126
"318",52,"UA",1107
"319",-5,"B6",1655
"320",24,"DL",1654
"321",26,"B6",1826
"322",112,"EV",1222
"323",7,"UA",2059
"324",-1,"UA",1846
"325",-3,"UA",1322
"326",1,"EV",1429
"327",1,"DL",1521
"328",0,"MQ",1425
"329",-8,"B6",1521
"330",-11,"MQ",1819
"331",10,"AA",1250
"332",-6,"AA",554
"333",-7,"MQ",1933
"334",-4,"B6",855
"335",-5,"DL",1540
"336",-1,"VX",1854
"337",-5,"DL",1800
"338",11,"EV",1601
"339",5,"EV",1501
"340",-4,"UA",826
"341",3,"UA",1003
"342",-4,"UA",631
"343",-4,"US",1756
"344",27,"DL",1952
"345",-7,"B6",623
"346",1,"UA",1630
"347",-1,"UA",1248
"348",NA,"MQ",NA
"349",-3,"MQ",926
"350",-5,"DL",1140
"351",-2,"MQ",753
"352",-5,"AA",950
"353",-1,"AA",1544
"354",-1,"DL",744
"355",-15,"MQ",1835
"356",67,"EV",1810
"357",-5,"EV",705
"358",16,"AA",1156
"359",126,"9E",2151
"360",8,"UA",1514
"361",-3,"B6",647
"362",0,"B6",1600
"363",-3,"B6",1247
"364",-3,"DL",1657
"365",-5,"EV",555
"366",134,"MQ",1539
"367",-1,"WN",559
"368",-6,"MQ",1459
"369",-7,"9E",838
"370",-3,"EV",1312
"371",-4,"EV",753
"372",-2,"AA",1848
"373",183,"UA",1448
"374",-12,"MQ",1618
"375",-6,"AA",924
"376",-15,"B6",1315
"377",NA,"EV",NA
"378",-6,"MQ",1054
"379",6,"DL",1901
"380",2,"DL",1437
"381",-5,"B6",1333
"382",-1,"B6",1443
"383",-4,"B6",801
"384",5,"B6",2150
"385",113,"EV",1610
"386",-5,"AA",1325
"387",-6,"EV",1302
"388",-1,"DL",759
"389",77,"US",1827
"390",26,"9E",1511
"391",-7,"B6",1659
"392",0,"MQ",610
"393",11,"UA",1406
"394",-4,"AA",606
"395",1,"DL",1516
"396",43,"EV",1803
"397",-8,"DL",1347
"398",13,"EV",1342
"399",-4,"9E",2043
"400",-1,"DL",1906
"401",-4,"B6",1911
"402",-2,"DL",1108
"403",-3,"EV",1427
"404",-2,"EV",803
"405",-5,"B6",655
"406",-5,"AA",1425
"407",-7,"US",1123
"408",10,"DL",1610
"409",-2,"AA",843
"410",-8,"9E",2027
"411",-10,"MQ",2130
"412",130,"EV",2219
"413",0,"MQ",800
"414",74,"WN",1804
"415",89,"B6",1624
"416",-5,"UA",630
"417",4,"UA",1304
"418",-8,"B6",1447
"419",1,"EV",631
"420",0,"B6",1535
"421",-6,"EV",723
"422",-4,"WN",936
"423",-12,"EV",1118
"424",-4,"DL",1656
"425",13,"WN",1218
"426",-6,"DL",1724
"427",5,"EV",2129
"428",-8,"DL",1437
"429",-6,"DL",1819
"430",-9,"B6",553
"431",0,"DL",905
"432",-6,"MQ",1419
"433",-6,"US",1534
"434",-2,"AA",833
"435",10,"B6",1439
"436",27,"AA",1522
"437",-4,"MQ",1611
"438",-1,"WN",1354
"439",-9,"MQ",1056
"440",4,"DL",1549
"441",1,"EV",1442
"442",-8,"US",2052
"443",100,"B6",2205
"444",-1,"AA",654
"445",-10,"DL",1430
"446",5,"UA",905
"447",1,"AA",546
"448",-5,"DL",1925
"449",-6,"EV",2153
"450",-2,"UA",1628
"451",12,"EV",1017
"452",-10,"B6",1305
"453",0,"AA",1530
"454",-6,"DL",649
"455",-3,"UA",900
"456",29,"UA",1347
"457",10,"AA",1655
"458",1,"UA",1716
"459",37,"DL",852
"460",4,"UA",1746
"461",28,"B6",2147
"462",8,"B6",1437
"463",-4,"B6",736
"464",24,"MQ",624
"465",-5,"US",1155
"466",-3,"UA",1437
"467",4,"UA",1359
"468",-8,"US",622
"469",-6,"AA",729
"470",6,"EV",1529
"471",-4,"DL",1101
"472",NA,"9E",NA
"473",-7,"DL",1803
"474",0,"9E",1459
"475",-4,"UA",1156
"476",29,"EV",1428
"477",20,"EV",1952
"478",38,"B6",1652
"479",-1,"UA",1138
"480",0,"UA",1034
"481",271,"MQ",1926
"482",-7,"US",753
"483",-3,"UA",1247
"484",-4,"EV",1836
"485",14,"EV",1734
"486",35,"WN",1620
"487",0,"WN",935
"488",-1,"EV",1304
"489",79,"EV",1754
"490",0,"EV",1543
"491",59,"B6",1529
"492",16,"EV",1632
"493",-4,"EV",1841
"494",49,"9E",849
"495",32,"DL",2137
"496",44,"EV",2134
"497",-5,"UA",531
"498",2,"EV",1357
"499",-5,"EV",1009
"500",-3,"B6",1425
"501",7,"B6",1327
"502",-2,"AA",1753
"503",-6,"9E",1453
"504",-2,"DL",743
"505",35,"UA",1423
"506",19,"DL",1944
"507",-7,"MQ",848
"508",-6,"US",1009
"509",-3,"DL",1128
"510",12,"UA",1825
"511",48,"B6",1727
"512",-12,"MQ",1458
"513",-1,"UA",1548
"514",-1,"B6",1930
"515",61,"AA",1811
"516",24,"B6",1454
"517",NA,"EV",NA
"518",43,"EV",1403
"519",13,"EV",1456
"520",-4,"MQ",1621
"521",1,"UA",601
"522",-4,"AA",1546
"523",-3,"EV",927
"524",-5,"US",1855
"525",-1,"EV",1554
"526",281,"MQ",1926
"527",-3,"B6",642
"528",12,"UA",1741
"529",23,"UA",1422
"530",-6,"WN",1549
"531",-10,"9E",914
"532",1,"UA",726
"533",5,"DL",1600
"534",-6,"FL",1414
"535",-11,"DL",1924
"536",-11,"UA",1149
"537",-3,"UA",1141
"538",-6,"B6",1613
"539",-1,"UA",2109
"540",-1,"DL",1059
"541",0,"AA",1520
"542",-1,"EV",1058
"543",-5,"EV",2054
"544",3,"AA",1732
"545",6,"MQ",1916
"546",-6,"AA",719
"547",-4,"MQ",1456
"548",-1,"B6",1459
"549",-5,"B6",1850
"550",NA,"FL",NA
"551",0,"WN",655
"552",6,"DL",1306
"553",-2,"MQ",1158
"554",14,"B6",614
"555",24,"EV",1544
"556",-2,"EV",958
"557",153,"EV",2302
"558",77,"WN",2037
"559",-1,"DL",1659
"560",59,"AA",1309
"561",0,"VX",730
"562",12,"UA",1742
"563",-4,"UA",755
"564",-1,"EV",1413
"565",28,"AA",1738
"566",46,"EV",857
"567",-7,"UA",601
"568",170,"B6",2120
"569",-4,"US",1021
"570",-2,"MQ",1558
"571",75,"EV",1750
"572",1,"DL",1836
"573",-5,"AA",1120
"574",-4,"DL",1755
"575",-4,"DL",1231
"576",-4,"AA",611
"577",2,"FL",1005
"578",-8,"B6",1346
"579",29,"FL",1220
"580",-4,"UA",557
"581",13,"EV",942
"582",9,"WN",634
"583",0,"AA",1710
"584",NA,"DL",NA
"585",2,"UA",1002
"586",-6,"US",854
"587",-1,"UA",745
"588",-5,"UA",1305
"589",7,"B6",1747
"590",-4,"9E",1056
"591",6,"B6",840
"592",-4,"UA",1551
"593",-8,"MQ",2132
"594",-3,"AA",1657
"595",42,"EV",1704
"596",-4,"AA",625
"597",-4,"EV",1056
"598",-4,"EV",731
"599",-8,"EV",907
"600",23,"B6",941
"601",36,"B6",1636
"602",0,"DL",730
"603",-4,"B6",1326
"604",5,"AA",804
"605",1,"B6",1500
"606",-1,"MQ",1104
"607",23,"UA",1552
"608",52,"UA",752
"609",8,"VX",948
"610",26,"DL",1506
"611",-9,"AA",1511
"612",31,"DL",1706
"613",2,"AA",1822
"614",99,"WN",2239
"615",-5,"UA",1505
"616",-3,"MQ",652
"617",-7,"DL",746
"618",5,"VX",1700
"619",13,"EV",1213
"620",-3,"EV",847
"621",-6,"EV",1715
"622",1,"DL",1456
"623",0,"AA",755
"624",95,"EV",1134
"625",1,"EV",1443
"626",-4,"9E",1641
"627",-8,"AA",821
"628",-6,"B6",2149
"629",-5,"9E",1255
"630",-4,"B6",656
"631",4,"EV",854
"632",-3,"MQ",1612
"633",-9,"UA",1751
"634",-7,"UA",1441
"635",-10,"AA",650
"636",-4,"B6",910
"637",-5,"EV",1627
"638",-4,"MQ",1656
"639",-13,"MQ",817
"640",-2,"EV",703
"641",26,"B6",1411
"642",12,"9E",1632
"643",NA,"MQ",NA
"644",260,"EV",1842
"645",-3,"EV",1502
"646",59,"EV",819
"647",0,"MQ",1030
"648",-5,"DL",655
"649",-4,"DL",1601
"650",2,"MQ",712
"651",64,"UA",1603
"652",4,"EV",1220
"653",0,"AA",1455
"654",10,"EV",900
"655",-4,"WN",726
"656",-3,"B6",1916
"657",1,"EV",746
"658",NA,"US",NA
"659",170,"EV",2119
"660",55,"B6",910
"661",-2,"UA",1028
"662",173,"UA",2053
"663",-1,"EV",2104
"664",11,"EV",851
"665",1,"MQ",1501
"666",-11,"MQ",1629
"667",-4,"AA",626
"668",NA,"MQ",NA
"669",-5,"US",1824
"670",NA,"EV",NA
"671",33,"AA",1718
"672",10,"WN",945
"673",-4,"WN",1746
"674",-6,"MQ",1053
"675",5,"9E",1940
"676",-5,"AA",1240
"677",-5,"UA",842
"678",-4,"AA",1501
"679",-7,"EV",652
"680",27,"MQ",1857
"681",20,"EV",1125
"682",11,"UA",1531
"683",4,"DL",1819
"684",-6,"UA",954
"685",-6,"DL",1539
"686",117,"EV",956
"687",-4,"DL",556
"688",28,"DL",1228
"689",35,"EV",1534
"690",56,"MQ",2156
"691",2,"UA",2023
"692",-2,"B6",628
"693",-5,"DL",1139
"694",-8,"DL",707
"695",-6,"EV",714
"696",-4,"DL",626
"697",NA,"MQ",NA
"698",121,"WN",1451
"699",-3,"AA",822
"700",-2,"MQ",1943
"701",-5,"MQ",955
"702",70,"EV",2139
"703",-6,"UA",1514
"704",8,"WN",1658
"705",-6,"B6",959
"706",-8,"AA",1912
"707",0,"UA",635
"708",-5,"AA",1825
"709",-4,"UA",1110
"710",37,"B6",1327
"711",-6,"EV",1601
"712",-3,"UA",557
"713",-1,"AA",1954
"714",-2,"UA",1008
"715",-6,"B6",829
"716",-5,"AA",1730
"717",-6,"US",1254
"718",16,"MQ",1701
"719",47,"EV",1817
"720",35,"B6",1630
"721",0,"UA",742
"722",-12,"B6",848
"723",53,"DL",1228
"724",-6,"US",554
"725",-3,"UA",1326
"726",44,"AA",1813
"727",0,"MQ",1530
"728",-8,"EV",1532
"729",-5,"9E",1454
"730",4,"AA",1403
"731",-7,"EV",1058
"732",-2,"B6",558
"733",-11,"MQ",824
"734",80,"UA",1650
"735",-5,"DL",1450
"736",0,"DL",855
"737",72,"EV",1342
"738",0,"UA",1051
"739",15,"9E",1630
"740",-3,"DL",1427
"741",-3,"US",1127
"742",-7,"DL",623
"743",-5,"B6",745
"744",-3,"9E",921
"745",-11,"EV",1248
"746",-2,"AA",858
"747",36,"DL",1354
"748",-7,"B6",1523
"749",-12,"B6",1218
"750",-4,"EV",1539
"751",-2,"AA",1938
"752",-3,"US",1447
"753",-6,"DL",759
"754",-2,"UA",1148
"755",10,"UA",655
"756",NA,"EV",NA
"757",-1,"DL",1339
"758",-2,"DL",618
"759",23,"B6",1438
"760",17,"AA",1547
"761",55,"US",2055
"762",-7,"9E",838
"763",-5,"DL",1325
"764",38,"EV",1232
"765",70,"AA",1810
"766",-1,"DL",2059
"767",18,"EV",1347
"768",-6,"DL",1124
"769",-6,"AA",1954
"770",0,"MQ",1455
"771",1,"9E",1821
"772",-3,"WN",1002
"773",-4,"B6",1911
"774",0,"B6",1800
"775",-5,"UA",1600
"776",23,"EV",1934
"777",-6,"UA",1824
"778",3,"EV",628
"779",13,"AA",1043
"780",0,"EV",1527
"781",1,"US",1501
"782",-2,"DL",1658
"783",-2,"9E",1158
"784",5,"AA",1550
"785",-4,"UA",1845
"786",-6,"EV",1245
"787",-5,"US",625
"788",-9,"B6",721
"789",0,"AA",1430
"790",1,"DL",1801
"791",-9,"9E",1806
"792",-17,"MQ",1948
"793",-12,"UA",618
"794",-3,"UA",1512
"795",-6,"DL",804
"796",33,"DL",1733
"797",-10,"MQ",1315
"798",-3,"DL",1057
"799",-7,"US",748
"800",-2,"MQ",1003
"801",-3,"B6",608
"802",-5,"UA",1924
"803",-6,"B6",1849
"804",160,"B6",18
"805",118,"UA",2023
"806",44,"UA",2033
"807",-2,"AA",1903
"808",22,"EV",1658
"809",-7,"US",608
"810",-1,"US",629
"811",123,"B6",2328
"812",-4,"EV",556
"813",-2,"EV",1944
"814",-10,"9E",1610
"815",-3,"B6",1752
"816",-3,"HA",927
"817",54,"AA",1744
"818",1,"DL",1726
"819",0,"UA",828
"820",256,"DL",2215
"821",-6,"B6",739
"822",-5,"EV",1245
"823",-8,"9E",1152
"824",-7,"MQ",818
"825",-5,"EV",1252
"826",-6,"VX",1024
"827",-2,"B6",1123
"828",-1,"B6",1159
"829",-10,"B6",1420
"830",345,"AA",2245
"831",7,"UA",2119
"832",-3,"EV",1030
"833",-3,"B6",1247
"834",-1,"UA",941
"835",1,"VX",946
"836",-6,"EV",641
"837",-5,"US",1355
"838",-5,"MQ",815
"839",-7,"AA",1713
"840",-7,"B6",828
"841",124,"EV",2109
"842",108,"US",1248
"843",-6,"US",454
"844",1,"AA",631
"845",1,"EV",810
"846",-4,"DL",1726
"847",-7,"EV",553
"848",-10,"EV",820
"849",53,"US",1653
"850",5,"VX",955
"851",-10,"US",1850
"852",-5,"DL",1935
"853",152,"WN",2032
"854",-4,"AA",1456
"855",0,"DL",1415
"856",36,"EV",916
"857",-2,"DL",1528
"858",9,"UA",849
"859",0,"WN",740
"860",9,"B6",1526
"861",-4,"9E",1556
"862",8,"DL",1753
"863",-1,"DL",1604
"864",-3,"EV",1235
"865",-9,"US",451
"866",-8,"DL",1927
"867",1,"DL",816
"868",-7,"UA",713
"869",-6,"EV",1854
"870",NA,"MQ",NA
"871",-4,"WN",721
"872",0,"UA",515
"873",-5,"AA",2135
"874",-6,"UA",1224
"875",0,"9E",830
"876",-7,"EV",625
"877",-2,"EV",1128
"878",-6,"AA",724
"879",-5,"EV",1100
"880",-3,"AA",927
"881",15,"MQ",2155
"882",17,"UA",1503
"883",-1,"B6",2009
"884",-8,"AA",1242
"885",-2,"EV",1701
"886",-7,"EV",1008
"887",159,"DL",2209
"888",21,"UA",955
"889",-3,"DL",1542
"890",-12,"EV",751
"891",-5,"AA",610
"892",-1,"US",1826
"893",-3,"US",957
"894",-2,"UA",1727
"895",34,"EV",1849
"896",-1,"DL",659
"897",-1,"FL",1415
"898",50,"EV",1619
"899",12,"B6",832
"900",-3,"MQ",2017
"901",-6,"DL",1459
"902",47,"EV",2018
"903",137,"DL",1802
"904",9,"B6",929
"905",-3,"UA",1857
"906",-9,"EV",1555
"907",-1,"9E",814
"908",3,"AA",1503
"909",-4,"B6",556
"910",-5,"AA",910
"911",NA,"AA",NA
"912",207,"UA",2127
"913",-1,"EV",1037
"914",20,"US",1220
"915",0,"UA",1000
"916",-3,"MQ",1937
"917",-2,"9E",803
"918",1,"VX",701
"919",28,"UA",1742
"920",0,"WN",625
"921",-7,"EV",813
"922",3,"B6",633
"923",218,"US",2138
"924",35,"EV",1917
"925",-10,"B6",1035
"926",-6,"EV",1419
"927",-3,"VX",1032
"928",0,"DL",745
"929",73,"9E",1958
"930",-4,"DL",1021
"931",2,"US",1902
"932",8,"UA",2008
"933",-8,"MQ",1157
"934",-9,"B6",1238
"935",6,"EV",936
"936",-5,"FL",1425
"937",-7,"B6",1908
"938",0,"DL",1300
"939",14,"MQ",2014
"940",31,"AA",646
"941",-6,"VX",654
"942",0,"B6",721
"943",-3,"DL",1517
"944",-8,"MQ",1022
"945",4,"EV",1533
"946",2,"EV",1618
"947",-4,"DL",956
"948",0,"EV",1128
"949",26,"VX",1656
"950",1,"UA",1650
"951",-1,"DL",1809
"952",100,"UA",2020
"953",NA,"9E",NA
"954",-4,"MQ",811
"955",-8,"AA",917
"956",-4,"EV",2056
"957",32,"9E",1621
"958",-2,"UA",1748
"959",-10,"EV",820
"960",-2,"EV",1248
"961",71,"B6",916
"962",-4,"AA",1341
"963",55,"9E",2055
"964",-5,"AA",725
"965",-1,"UA",514
"966",25,"EV",1628
"967",-9,"EV",1022
"968",-3,"B6",557
"969",-3,"AA",822
"970",-1,"UA",1159
"971",4,"MQ",1914
"972",6,"9E",1840
"973",-11,"US",649
"974",NA,"DL",NA
"975",3,"WN",1813
"976",-3,"UA",2025
"977",40,"B6",2112
"978",-4,"EV",626
"979",-5,"MQ",1130
"980",61,"EV",731
"981",8,"AA",1428
"982",4,"UA",1834
"983",3,"DL",1933
"984",3,"DL",703
"985",0,"EV",805
"986",149,"DL",2229
"987",23,"B6",2003
"988",-4,"UA",1103
"989",-8,"EV",936
"990",6,"EV",1627
"991",-8,"B6",2351
"992",-4,"B6",756
"993",0,"9E",820
"994",29,"B6",1814
"995",-2,"EV",618
"996",70,"EV",1443
"997",27,"EV",858
"998",2,"B6",2017
"999",188,"EV",1940
"1000",76,"EV",1119
"1001",-7,"UA",1722
"1002",0,"B6",700
"1003",-9,"9E",946
"1004",2,"DL",1902
"1005",-10,"DL",1850
"1006",-6,"US",1554
"1007",-8,"AA",1457
"1008",4,"MQ",1459
"1009",-2,"EV",1326
"1010",-5,"AA",700
"1011",0,"US",1629
"1012",-8,"YV",1128
"1013",-7,"EV",843
"1014",-6,"B6",1314
"1015",4,"DL",1824
"1016",-6,"EV",834
"1017",-3,"UA",712
"1018",-1,"MQ",1414
"1019",-2,"9E",813
"1020",9,"UA",1038
"1021",-5,"US",1650
"1022",-2,"WN",933
"1023",82,"AA",1837
"1024",-7,"EV",1352
"1025",-4,"DL",956
"1026",-5,"DL",655
"1027",97,"EV",1637
"1028",40,"MQ",1435
"1029",-10,"B6",1510
"1030",16,"UA",1341
"1031",41,"B6",741
"1032",16,"UA",2111
"1033",1,"DL",1031
"1034",-5,"UA",1349
"1035",31,"EV",2105
"1036",-9,"US",1251
"1037",80,"AA",1840
"1038",32,"WN",1312
"1039",-7,"EV",1620
"1040",-6,"EV",754
"1041",-4,"B6",856
"1042",-9,"MQ",811
"1043",-2,"AA",938
"1044",-10,"9E",1650
"1045",-7,"UA",1943
"1046",-14,"US",601
"1047",-5,"EV",1425
"1048",-7,"VX",1848
"1049",-3,"EV",633
"1050",-7,"AA",708
"1051",31,"MQ",846
"1052",-3,"DL",1642
"1053",-4,"B6",1756
"1054",9,"DL",1144
"1055",-3,"UA",650
"1056",1,"UA",1353
"1057",38,"EV",1338
"1058",-8,"UA",832
"1059",14,"UA",1949
"1060",-12,"EV",1713
"1061",-7,"UA",713
"1062",38,"EV",1407
"1063",-3,"WN",602
"1064",-4,"DL",806
"1065",0,"B6",2359
"1066",0,"AA",1530
"1067",-13,"UA",747
"1068",-5,"UA",603
"1069",-8,"9E",1421
"1070",13,"UA",808
"1071",37,"EV",2007
"1072",-1,"B6",1311
"1073",-5,"AA",2140
"1074",-7,"UA",1141
"1075",-3,"DL",1356
"1076",-9,"9E",1451
"1077",-2,"WN",943
"1078",-5,"B6",655
"1079",-2,"AA",1248
"1080",-2,"US",653
"1081",-4,"B6",1346
"1082",23,"UA",1927
"1083",-4,"AS",716
"1084",18,"VX",1713
"1085",33,"UA",1653
"1086",53,"UA",1728
"1087",-2,"EV",802
"1088",9,"B6",1255
"1089",-5,"EV",1410
"1090",8,"B6",1537
"1091",-9,"EV",551
"1092",-5,"DL",655
"1093",-2,"B6",837
"1094",-5,"DL",1850
"1095",NA,"EV",NA
"1096",0,"UA",1001
"1097",-8,"MQ",2132
"1098",-9,"DL",736
"1099",-3,"DL",1957
"1100",42,"MQ",1407
"1101",136,"DL",1401
"1102",0,"VX",945
"1103",18,"B6",843
"1104",3,"UA",1003
"1105",-3,"B6",1327
"1106",6,"UA",1936
"1107",0,"DL",1901
"1108",-4,"9E",1611
"1109",-2,"DL",1053
"1110",-2,"DL",758
"1111",-1,"MQ",1314
"1112",59,"UA",1914
"1113",100,"MQ",1725
"1114",NA,"EV",NA
"1115",-1,"UA",1659
"1116",36,"US",1931
"1117",-7,"DL",638
"1118",48,"AA",2133
"1119",-8,"DL",602
"1120",-3,"DL",856
"1121",-4,"US",1441
"1122",-7,"B6",808
"1123",1,"UA",1251
"1124",NA,"EV",NA
"1125",39,"AA",2104
